new index,기존 index,시장명,소재지지번주소,위도,경도,법정동코드,행정동코드,시도명,시군구명,읍면동명,5일장,복합장,상설장,점포수,공중화장실보유여부,주차장보유여부,운영기간,대형마트,주차장,지하철역,학교,편의점,"주유소,충전소",문화시설,관광명소,음식점,카페,공시지가,행정동 인구,행정동 인구 0 - 4세,행정동 인구 5 - 9세,행정동 인구 10 - 14세,행정동 인구 15 - 19세,행정동 인구 20 - 24세,행정동 인구 25 - 29세,행정동 인구 30 - 34세,행정동 인구 35 - 39세,행정동 인구 40 - 44세,행정동 인구 45 - 49세,행정동 인구 50 - 54세,행정동 인구 55 - 59세,행정동 인구 60 - 64세,행정동 인구 65 - 69세,행정동 인구 70 - 74세,행정동 인구 75 - 79세,행정동 인구 80 - 84세,행정동 인구 85 - 89세,행정동 인구 90 - 94세,행정동 인구 95 - 99세,행정동 인구 100+,행정시구 인구,행정시구 인구 0 - 4세,행정시구 인구 5 - 9세,행정시구 인구 10 - 14세,행정시구 인구 15 - 19세,행정시구 인구 20 - 24세,행정시구 인구 25 - 29세,행정시구 인구 30 - 34세,행정시구 인구 35 - 39세,행정시구 인구 40 - 44세,행정시구 인구 45 - 49세,행정시구 인구 50 - 54세,행정시구 인구 55 - 59세,행정시구 인구 60 - 64세,행정시구 인구 65 - 69세,행정시구 인구 70 - 74세,행정시구 인구 75 - 79세,행정시구 인구 80 - 84세,행정시구 인구 85 - 89세,행정시구 인구 90 - 94세,행정시구 인구 95 - 99세,행정시구 인구 100+,시도별 소득월액,농산물이 주요품목
733,801,남성역골목시장,서울특별시 동작구 사당동 267-16,37.4829,126.9726,1159010700,1159065000,서울특별시,동작구,사당제4동,0,0,1,57,0,0,51,6,57,3,12,88,3,7,2,1220,238,5262427,14421,375,367,314,440,894,1626,1329,1169,1006,1068,992,1109,1114,886,734,501,297,125,56,13,6,391220,10942,13622,13111,14710,27603,38942,31789,30307,28722,30190,29702,28641,28011,21151,17066,12689,8108,3787,1432,382,313,1403742,1
1104,1310,영동교골목시장,서울특별시 광진구 자양4동 246-111,37.5382,127.0635,1121510500,1121584700,서울특별시,광진구,자양제4동,0,0,1,58,1,1,51,3,89,4,9,112,2,21,11,1766,459,5229834,17810,335,375,365,514,1050,1657,1332,1280,1132,1336,1450,1670,1700,1292,970,649,427,181,64,14,17,346682,8351,11221,12237,13694,26193,36747,29113,26870,24874,27608,28122,26419,24922,17538,12852,9576,6105,2745,990,287,218,1368980,1
905,1018,창동골목시장,서울특별시 도봉구 창동 557-45,37.63835,127.0391,1132010700,1132051300,서울특별시,도봉구,창제3동,0,0,1,60,0,0,51,2,33,0,6,53,9,2,6,580,89,3532361,14310,316,458,518,572,857,969,782,933,952,1213,1304,1317,1220,938,741,638,366,150,42,14,10,325257,7915,10860,11703,13924,20408,23004,19259,21734,21965,26570,28731,28289,28886,20854,15522,12184,7862,3741,1354,317,175,1342237,1
1304,1707,서중시장,서울특별시 서대문구 남가좌동 286-35,37.57067,126.9155,1141012000,1141069000,서울특별시,서대문구,남가좌제1동,0,0,1,61,0,0,51,5,28,1,10,58,7,5,1,538,217,3955714,15894,802,1347,857,599,723,830,896,1587,1669,1416,1123,1009,907,651,544,431,294,135,47,11,16,312173,9060,11115,10915,12707,22638,27718,21991,23118,22264,25223,25575,23792,22301,16257,13272,11032,7692,3554,1283,368,298,1397704,0
1087,1293,동평새시장,부산광역시 부산진구 당감동 282-68,35.16592,129.0398,2623010900,2623067000,부산광역시,부산진구,당감제1동,0,0,1,64,0,0,51,2,28,0,10,25,4,2,0,495,55,1510557,23800,430,751,921,1060,1448,1491,1097,1259,1520,1938,2143,2322,2373,1750,1237,917,679,306,124,22,12,359886,9349,11969,11722,13283,23393,29388,23443,24551,24430,27268,28695,29941,31558,24456,18126,13639,8928,3991,1236,288,232,1319027,0
594,657,가리봉시장,서울특별시 구로구 가리봉동 123-79,37.48154,126.8883,1153010300,1153059500,서울특별시,구로구,가리봉동,0,0,1,64,1,1,51,3,157,3,4,168,2,7,4,1811,407,3718382,9280,118,119,127,164,524,964,697,564,479,703,883,982,955,680,522,350,242,124,43,17,23,404408,12869,15330,14686,15503,23351,32064,30724,32423,30981,32222,31791,31539,31724,24259,18721,13083,7907,3536,1203,313,179,1380680,0
1842,2725,제일시장,인천광역시 미추홀구 도화동 458-2,37.45858,126.6744,2817710400,2817760000,인천광역시,미추홀구,도화1동,0,0,1,72,1,0,51,0,78,4,4,96,6,9,1,955,143,1549449,23335,755,903,743,834,1422,1886,1701,1872,1752,1837,1874,1915,1837,1297,1027,806,494,249,101,21,9,404343,11821,15372,15001,16657,26227,31104,25940,29757,30133,33274,33377,33810,32796,22833,17797,13460,8607,4219,1579,402,177,1277710,0
1333,1753,범일골목시장,부산광역시 동구 범일동 39,35.14152,129.0556,2617010400,2617065000,부산광역시,동구,범일제1동,0,0,1,75,0,0,51,1,96,3,7,56,3,18,11,885,142,1851796,12009,139,238,256,375,570,718,565,590,574,851,1011,1120,1425,1151,835,754,524,216,74,10,13,88901,1854,2231,2245,2900,4591,5881,5060,5335,5374,6579,7224,7484,8762,7332,5941,4789,3193,1439,489,97,101,1232623,1
531,567,새길시장,대구광역시 서구 내당동 968,35.86492,128.5716,2717010100,2717052500,대구광역시,서구,내당2.3동,0,0,1,76,1,0,51,2,83,4,11,41,8,3,4,654,101,1343708,10149,144,175,200,337,594,697,468,485,546,752,938,1055,1061,890,704,535,382,134,40,5,7,170700,3048,4516,4657,6205,9892,11781,8407,9036,9994,12831,16004,18317,17425,13660,9742,7431,4788,2108,620,135,103,1263678,0
1476,2057,영도봉래시장,부산광역시 영도구 봉래동 3가 13-2,35.09272,129.0433,2620011700,2620059000,부산광역시,영도구,봉래제1동,0,0,1,76,1,1,51,3,49,1,7,32,4,7,8,726,112,1881974,7280,164,189,210,215,330,409,336,406,454,522,537,649,786,674,500,392,269,151,48,9,30,113342,2039,3100,3395,4008,6001,5989,4711,5899,6741,8418,9322,10237,11999,10172,8166,6390,4125,1761,580,157,132,1255376,1
